,account_value,date,daily_return,datadate
325,1026574.26816504,2019-04-18,0.0002469378896223,2019-04-18
326,1028777.14316504,2019-04-22,0.0021458505909539,2019-04-22
327,1042287.51816504,2019-04-23,0.0131324603095626,2019-04-23
328,1039879.83066504,2019-04-24,-0.0023100031978112,2019-04-24
329,1042013.64316504,2019-04-25,0.0020519798894795,2019-04-25
330,1045561.76816504,2019-04-26,0.0034050657813105,2019-04-26
331,1047539.39316504,2019-04-29,0.0018914473158966,2019-04-29
332,1039032.51816504,2019-04-30,-0.0081208163201359,2019-04-30
333,1033176.51816504,2019-05-01,-0.0056360122494932,2019-05-01
334,1031529.14316504,2019-05-02,-0.0015944758432235,2019-05-02
335,1047814.58066504,2019-05-03,0.015787665920937,2019-05-03
336,1042603.70566504,2019-05-06,-0.0049730888423911,2019-05-06
337,1022183.83066504,2019-05-07,-0.0195854617521955,2019-05-07
338,1019567.51816504,2019-05-08,-0.0025595322695506,2019-05-08
339,1015378.08066504,2019-05-09,-0.0041090339044341,2019-05-09
340,1016190.89316504,2019-05-10,0.0008005023108905,2019-05-10
341,981641.14316504,2019-05-13,-0.0339992714286101,2019-05-13
342,992837.33066504,2019-05-14,0.0114055809273649,2019-05-14
343,1004057.76816504,2019-05-15,0.0113013855879937,2019-05-15
344,1013772.95566504,2019-05-16,0.009675924840216,2019-05-16
345,1003306.39316504,2019-05-17,-0.0103243654720833,2019-05-17
346,988727.20566504,2019-05-20,-0.0145311418319665,2019-05-20
347,999394.76816504,2019-05-21,0.0107891867836535,2019-05-21
348,994930.08066504,2019-05-22,-0.0044673913074384,2019-05-22
349,979242.39316504,2019-05-23,-0.0157676281025836,2019-05-23
350,980359.83066504,2019-05-24,0.0011411245140116,2019-05-24
351,976563.39316504,2019-05-28,-0.0038724939366646,2019-05-28
352,968878.26816504,2019-05-29,-0.0078695608024917,2019-05-29
353,971490.76816504,2019-05-30,0.0026964171721466,2019-05-30
354,956825.76816504,2019-05-31,-0.0150953570332936,2019-05-31
355,941449.14316504,2019-06-03,-0.016070454529552,2019-06-03
356,966293.95566504,2019-06-04,0.0263899677219681,2019-06-04
357,972484.01816504,2019-06-05,0.0064059828416702,2019-06-05
358,977612.95566504,2019-06-06,0.005274058394993,2019-06-06
359,993811.39316504,2019-06-07,0.0165693768746963,2019-06-07
360,1004188.33066504,2019-06-10,0.01044155618598,2019-06-10
361,1004111.51816504,2019-06-11,-7.64921256843909e-05,2019-06-11
362,1000290.76816504,2019-06-12,-0.003805105240683,2019-06-12
363,1005975.20566504,2019-06-13,0.0056827851269962,2019-06-13
364,1000795.08066504,2019-06-14,-0.0051493565356568,2019-06-14
365,1006985.14316504,2019-06-17,0.0061851448109504,2019-06-17
366,1020919.20566504,2019-06-18,0.0138374062364059,2019-06-18
367,1025199.51816504,2019-06-19,0.0041926065023056,2019-06-19
368,1033394.08066504,2019-06-20,0.0079931392424639,2019-06-20
369,1030881.45566504,2019-06-21,-0.0024314296423906,2019-06-21
370,1027552.20566504,2019-06-24,-0.0032295177895621,2019-06-24
371,1012066.76816504,2019-06-25,-0.0150702197072096,2019-06-25
372,1015298.76816504,2019-06-26,0.0031934651958387,2019-06-26
373,1022695.83066504,2019-06-27,0.0072856017676143,2019-06-27
374,1027621.33066504,2019-06-28,0.0048161925103351,2019-06-28
375,1038491.08066504,2019-07-01,0.0105775830801073,2019-07-01
376,1040786.08066504,2019-07-02,0.0022099371316028,2019-07-02
377,1048612.01816504,2019-07-03,0.007519256497934,2019-07-03
378,1047531.70566504,2019-07-05,,2019-07-05
379,1040249.0605556652,2019-07-08,-0.0069521954037194,2019-07-08
380,1038969.5797919934,2019-07-09,-0.0012299754089547,2019-07-09
381,1041842.819049806,2019-07-10,0.0027654700519603,2019-07-10
382,1043854.1559638684,2019-07-11,0.0019305569681777,2019-07-11
383,1046701.319049806,2019-07-12,0.0027275487381746,2019-07-12
384,1046593.0797919934,2019-07-15,-0.0001034098800131,2019-07-15
385,1043575.3415107434,2019-07-16,-0.0028833921602555,2019-07-16
386,1037632.9059638684,2019-07-17,-0.0056943042926563,2019-07-17
387,1041482.6129951184,2019-07-18,0.0037100857240779,2019-07-18
388,1037002.526081056,2019-07-19,-0.0043016435014489,2019-07-19
389,1036827.0905341808,2019-07-22,-0.0001691756215271,2019-07-22
390,1043759.3405341808,2019-07-23,0.0066860232176499,2019-07-23
391,1046714.7428779308,2019-07-24,0.0028314978644765,2019-07-24
392,1041529.2106513684,2019-07-25,-0.004954102597528,2019-07-25
393,1046759.7975654308,2019-07-26,0.0050220261328928,2019-07-26
394,1045741.5153388684,2019-07-29,-0.0009727945503169,2019-07-29
395,1042944.8844794934,2019-07-30,-0.0026743041357296,2019-07-30
396,1033416.666706056,2019-07-31,-0.0091358785255395,2019-07-31
397,1021900.1022529308,2019-08-01,-0.011144163650692,2019-08-01
398,1015476.569049806,2019-08-02,-0.0062858719643567,2019-08-02
399,988442.7536201184,2019-08-05,-0.0266218012838872,2019-08-05
400,998778.3297919934,2019-08-06,0.0104564236360897,2019-08-06
401,999159.1344794934,2019-08-07,0.0003812704742796,2019-08-07
402,1014632.1022529308,2019-08-08,0.0154859894079815,2019-08-08
403,1008280.471393556,2019-08-09,-0.0062600334104071,2019-08-09
404,995468.276081056,2019-08-12,-0.0127069755648367,2019-08-12
405,1006379.7653388684,2019-08-13,0.010961162218819,2019-08-13
406,978231.2321357434,2019-08-14,-0.0279700905886624,2019-08-14
407,981508.9606513684,2019-08-15,0.0033506684390651,2019-08-15
408,995007.6999091808,2019-08-16,0.0137530473984202,2019-08-16
409,1003500.1999091808,2019-08-19,0.0085351098295773,2019-08-19
410,996508.6999091808,2019-08-20,-0.0069671137092277,2019-08-20
