date,ensemble
2021-10-04,1725754.856664311
2021-10-05,1736359.8234445842
2021-10-06,1736419.3155434611
2021-10-07,1756867.904166508
2021-10-08,1752237.396354008
2021-10-11,1740556.0887368205
2021-10-12,1740029.3336098674
2021-10-13,1741974.7586586955
2021-10-14,1768369.798697758
2021-10-15,1779189.5474770549
2021-10-18,1778518.865104008
2021-10-19,1787332.4437172893
2021-10-20,1796035.8336098674
2021-10-21,1797457.462760258
2021-10-22,1798719.4429848674
2021-10-25,1806349.1434243205
2021-10-26,1802661.2266762736
2021-10-27,1782495.3792641645
2021-10-28,1802248.1548989296
2021-10-29,1805075.3511879924
2021-11-01,1823818.1085122111
2021-11-02,1829490.6341469768
2021-11-03,1843875.9876626015
2021-11-04,1842270.392447758
2021-11-05,1858032.6173012736
2021-11-08,1863021.0589516645
2021-11-09,1855265.219840336
2021-11-10,1837487.8516762736
2021-11-11,1837079.4324868205
2021-11-12,1843841.3236001015
2021-11-15,1840637.329947758
2021-11-16,1843542.4664223676
2021-11-17,1829220.202994633
2021-11-18,1823754.669791508
2021-11-19,1809400.0374672893
