date,ensemble,dji
2020-02-14,1114845.1452216809,1184259.930433718
2020-02-18,1110237.069049806,1177577.2620587759
2020-02-19,1114038.5583076184,1182243.7057495292
2020-02-20,1112012.2545966809,1177085.4404517803
2020-02-21,1105241.9391669934,1167918.0934095983
2020-02-24,1070350.7868232434,1126361.173929631
2020-02-25,1069281.5913339856,1090934.1250945227
2020-02-26,1069281.5913339856,1085948.2451976584
2020-02-27,1027717.5739033216,1037972.5462676988
2020-02-28,1026690.1116137708,1023579.9782106742
2020-03-02,1061572.397296144,1075705.3580230768
2020-03-03,1060513.3182907728,1044046.0828427116
2020-03-04,1097860.9460822768,1091316.8191109083
2020-03-05,1096764.8487297378,1052258.6618156424
2020-03-06,1074582.8981418472,1041925.9233732336
2020-03-09,1073508.601504152,960804.4694003324
2020-03-10,1073508.601504152,1007821.0729232733
2020-03-11,1073508.601504152,948808.0662834848
2020-03-12,1073508.601504152,854036.8514510704
2020-03-13,1073508.601504152,933999.7590853047
2020-03-16,1073508.601504152,813265.8551885528
2020-03-17,1073508.601504152,855517.7451139833
2020-03-18,1073508.601504152,801599.7459616694
2020-03-19,1073508.601504152,809183.9168118882
2020-03-20,1073508.601504152,772396.5890192781
2020-03-23,1073508.601504152,748949.499417501
2020-03-24,1073508.601504152,834067.9185890865
2020-03-25,1073508.601504152,854034.097690673
2020-03-26,1073508.601504152,908482.1563800734
2020-03-27,1036010.5202189956,871606.9442913485
2020-03-30,1061091.6002971206,899430.8606689293
2020-03-31,1048527.173051027,882901.6892589104
2020-04-01,999056.1486369644,843679.5652016897
2020-04-02,1020127.8009807144,862610.0156783381
2020-04-03,1000318.678910402,848071.2622836401
2020-04-06,1070207.1228313006,913631.2162502076
2020-04-07,1067159.6665651873,912578.571668542
2020-04-08,1096942.9673464373,943988.1201202874
2020-04-09,1107354.3540651873,955501.1202690692
2020-04-13,1106248.8547702653,942263.9513959716
2020-04-14,1106248.8547702653,964782.0795973656
2020-04-15,1087307.631059816,946839.36363587
2020-04-16,1102666.6022512224,948182.0185268279
2020-04-17,1121120.422807863,976574.311050455
2020-04-20,1107604.8918020036,952724.3856419562
2020-04-21,1070147.504839113,927282.9440814334
2020-04-22,1098947.196245363,945690.101403686
2020-04-23,1098749.8170949724,947278.8637953128
2020-04-24,1116192.4250051286,957752.9881644164
